--- Decision Tree Classifier ---
train accuracy: 0.709 validate accuracy: 0.6
--- Bagging Tree Classifier ---
n_estimators: 15
train accuracy: 0.731 validate accuracy: 0.61
--- Random Forest Classifier ---
1 1 0.608 0.5625
1 2 0.619 0.59
1 3 0.658 0.5825
1 4 0.658 0.56
1 5 0.668 0.585
1 6 0.676 0.6
1 7 0.676 0.595
1 8 0.633 0.57
1 9 0.665 0.585
1 10 0.669 0.595
1 11 0.673 0.5875
1 12 0.662 0.5925
1 13 0.669 0.5875
1 14 0.673 0.595
1 15 0.676 0.59
1 16 0.681 0.595
1 17 0.677 0.59
1 18 0.685 0.6
1 19 0.672 0.6
1 20 0.673 0.59
1 21 0.673 0.5925
1 22 0.673 0.5975
1 23 0.675 0.5925
1 24 0.675 0.595
1 25 0.67 0.595
1 26 0.665 0.5975
1 27 0.672 0.6
1 28 0.675 0.5975
1 29 0.675 0.5875
2 1 0.678 0.585
2 2 0.678 0.6
2 3 0.664 0.5925
2 4 0.686 0.5875
2 5 0.667 0.5875
2 6 0.694 0.6025
2 7 0.677 0.6
2 8 0.691 0.62
2 9 0.683 0.5825
2 10 0.682 0.5925
2 11 0.681 0.595
2 12 0.683 0.5875
2 13 0.681 0.58
2 14 0.681 0.5925
2 15 0.688 0.6
2 16 0.683 0.6
2 17 0.69 0.5975
2 18 0.68 0.595
2 19 0.69 0.6
2 20 0.684 0.5925
2 21 0.688 0.5875
2 22 0.691 0.5925
2 23 0.676 0.605
2 24 0.685 0.5925
2 25 0.682 0.5975
2 26 0.687 0.5925
2 27 0.688 0.59
2 28 0.682 0.5925
2 29 0.68 0.595
3 1 0.669 0.595
3 2 0.685 0.5825
3 3 0.682 0.6
3 4 0.702 0.5775
3 5 0.698 0.605
3 6 0.707 0.6075
3 7 0.682 0.585
3 8 0.697 0.585
3 9 0.684 0.5975
3 10 0.693 0.61
3 11 0.709 0.595
3 12 0.702 0.5975
3 13 0.694 0.6025
3 14 0.7 0.6175
3 15 0.689 0.59
3 16 0.705 0.5975
3 17 0.698 0.5975
3 18 0.696 0.61
3 19 0.701 0.61
3 20 0.699 0.5875
3 21 0.713 0.6
3 22 0.708 0.605
3 23 0.702 0.6
3 24 0.699 0.5975
3 25 0.702 0.615
3 26 0.705 0.595
3 27 0.691 0.6025
3 28 0.696 0.58
3 29 0.704 0.61
4 1 0.679 0.575
4 2 0.699 0.6125
4 3 0.717 0.58
4 4 0.727 0.5825
4 5 0.708 0.6125
4 6 0.722 0.5925
4 7 0.718 0.585
4 8 0.725 0.6
4 9 0.713 0.595
4 10 0.723 0.6275
4 11 0.736 0.615
4 12 0.715 0.615
4 13 0.719 0.6
4 14 0.722 0.5975
4 15 0.727 0.6225
4 16 0.731 0.5925
4 17 0.73 0.6175
4 18 0.724 0.6125
4 19 0.718 0.61
4 20 0.722 0.6025
4 21 0.715 0.6075
4 22 0.735 0.6075
4 23 0.729 0.6125
4 24 0.723 0.59
4 25 0.729 0.6225
4 26 0.717 0.605
4 27 0.716 0.615
4 28 0.722 0.59
4 29 0.713 0.5975
5 1 0.675 0.57
5 2 0.715 0.565
5 3 0.733 0.56
5 4 0.749 0.5725
5 5 0.746 0.6075
5 6 0.757 0.5975
5 7 0.731 0.62
5 8 0.732 0.61
5 9 0.763 0.605
5 10 0.753 0.625
5 11 0.747 0.585
5 12 0.748 0.6
5 13 0.739 0.61
5 14 0.76 0.6025
5 15 0.76 0.6175
5 16 0.764 0.6075
5 17 0.747 0.6025
5 18 0.755 0.57
5 19 0.764 0.5975
5 20 0.757 0.5975
5 21 0.747 0.605
5 22 0.769 0.59
5 23 0.764 0.59
5 24 0.76 0.6125
5 25 0.759 0.605
5 26 0.769 0.62
5 27 0.766 0.615
5 28 0.761 0.62
5 29 0.759 0.595
6 1 0.713 0.5725
6 2 0.77 0.5575
6 3 0.764 0.57
6 4 0.771 0.6025
6 5 0.777 0.625
6 6 0.783 0.5875
6 7 0.784 0.6
6 8 0.789 0.57
6 9 0.792 0.6025
6 10 0.793 0.595
6 11 0.79 0.5925
6 12 0.791 0.59
6 13 0.781 0.595
6 14 0.777 0.59
6 15 0.794 0.5775
6 16 0.795 0.5925
6 17 0.775 0.61
6 18 0.794 0.58
6 19 0.793 0.6
6 20 0.792 0.61
6 21 0.802 0.6075
6 22 0.805 0.585
6 23 0.811 0.595
6 24 0.803 0.6275
6 25 0.802 0.605
6 26 0.794 0.595
6 27 0.8 0.6025
6 28 0.79 0.6075
6 29 0.797 0.6125
7 1 0.724 0.56
7 2 0.782 0.5625
7 3 0.79 0.565
7 4 0.805 0.5625
7 5 0.816 0.5875
7 6 0.823 0.585
7 7 0.821 0.5975
7 8 0.834 0.6125
7 9 0.833 0.5825
7 10 0.849 0.58
7 11 0.862 0.5975
7 12 0.84 0.6075
7 13 0.831 0.5825
7 14 0.861 0.57
7 15 0.836 0.6075
7 16 0.849 0.6125
7 17 0.841 0.62
7 18 0.84 0.61
7 19 0.853 0.595
7 20 0.848 0.59
7 21 0.837 0.5875
7 22 0.844 0.595
7 23 0.86 0.6075
7 24 0.858 0.61
7 25 0.841 0.61
7 26 0.841 0.595
7 27 0.84 0.585
7 28 0.85 0.6075
7 29 0.859 0.6
8 1 0.727 0.555
8 2 0.787 0.5675
8 3 0.815 0.5925
8 4 0.846 0.56
8 5 0.86 0.565
8 6 0.857 0.585
8 7 0.857 0.585
8 8 0.885 0.5875
8 9 0.856 0.5975
8 10 0.876 0.5875
8 11 0.88 0.6
8 12 0.882 0.6
8 13 0.877 0.5575
8 14 0.875 0.625
8 15 0.879 0.565
8 16 0.892 0.605
8 17 0.914 0.5925
8 18 0.892 0.605
8 19 0.898 0.61
8 20 0.885 0.59
8 21 0.89 0.615
8 22 0.884 0.59
8 23 0.887 0.575
8 24 0.888 0.595
8 25 0.907 0.5775
8 26 0.904 0.5975
8 27 0.916 0.5975
8 28 0.896 0.605
8 29 0.91 0.6125
9 1 0.765 0.5025
9 2 0.822 0.56
9 3 0.843 0.545
9 4 0.859 0.575
9 5 0.902 0.5725
9 6 0.919 0.5725
9 7 0.889 0.58
9 8 0.911 0.585
9 9 0.914 0.58
9 10 0.909 0.6025
9 11 0.905 0.59
9 12 0.908 0.605
9 13 0.92 0.58
9 14 0.925 0.5825
9 15 0.927 0.5925
9 16 0.934 0.575
9 17 0.901 0.6075
9 18 0.939 0.59
9 19 0.926 0.5925
9 20 0.926 0.6025
9 21 0.94 0.58
9 22 0.929 0.5975
9 23 0.926 0.58
9 24 0.949 0.5875
9 25 0.943 0.6075
9 26 0.941 0.6
9 27 0.933 0.605
9 28 0.936 0.6075
